,NIFTY_50,NIFTY_BANK,NIFTY_500,NIFTY_IT,NIFTY_AUTO,NIFTY_FMCG,NIFTY_METAL,NIFTY_PHARMA,NIFTY_ENERGY,NIFTY_REALTY
2021-07-12,15692.599609375,35198.8984375,13549.0,28532.349609375,10438.2001953125,36176.6484375,5262.5498046875,14372.2001953125,19467.30078125,379.3500061035156
2021-07-13,15812.349609375,35673.3984375,13628.849609375,28439.75,10497.7998046875,36110.30078125,5295.60009765625,14460.0498046875,19570.599609375,380.79998779296875
2021-07-14,15853.9501953125,35668.25,13661.099609375,29339.849609375,10467.900390625,36073.19921875,5299.9501953125,14507.0,19524.75,377.20001220703125
2021-07-15,15924.2001953125,35907.6484375,13720.349609375,29718.05078125,10426.0,36182.94921875,5335.39990234375,14467.4501953125,19436.5,393.04998779296875
2021-07-16,15923.400390625,35751.80078125,13742.349609375,29400.25,10428.4501953125,36253.55078125,5391.2998046875,14635.0498046875,19567.900390625,397.54998779296875
2021-07-19,15752.400390625,35079.19921875,13619.849609375,29264.0,10310.900390625,36180.3984375,5317.85009765625,14669.900390625,19517.30078125,399.25
2021-07-20,15632.099609375,34415.44921875,13495.599609375,29252.5,10222.2001953125,36230.25,5193.64990234375,14479.2001953125,19309.94921875,389.1499938964844
2021-07-22,15824.0498046875,34677.30078125,13670.2001953125,29779.94921875,10235.7998046875,36263.6015625,5348.9501953125,14575.400390625,19600.05078125,395.95001220703125
2021-07-23,15856.0498046875,35034.3984375,13687.0,29894.30078125,10201.349609375,36558.6484375,5353.7998046875,14597.849609375,19503.80078125,401.04998779296875
2021-07-26,15824.4501953125,34949.69921875,13675.099609375,29940.400390625,10137.9501953125,36486.75,5387.39990234375,14652.5498046875,19300.099609375,397.20001220703125
2021-07-27,15746.4501953125,34797.44921875,13610.2998046875,29892.55078125,10094.349609375,36360.80078125,5465.89990234375,14018.650390625,19116.150390625,394.29998779296875
2021-07-28,15709.400390625,34532.8984375,13579.150390625,29954.150390625,10000.400390625,36360.3515625,5532.7998046875,13964.75,19011.75,391.20001220703125
2021-07-29,15778.4501953125,34691.5,13643.75,30371.400390625,9956.650390625,35990.05078125,5810.75,13920.349609375,18975.349609375,397.5
2021-07-30,15763.0498046875,34584.3515625,13664.25,30480.05078125,10048.5,36051.8984375,5770.35009765625,14425.2998046875,18934.150390625,398.6499938964844
2021-08-02,15885.150390625,34710.0,13783.7001953125,30803.05078125,10183.4501953125,36199.94921875,5781.2998046875,14474.9501953125,19229.150390625,417.75
2021-08-03,16130.75,35207.44921875,13939.2001953125,31165.849609375,10342.599609375,36826.05078125,5778.2001953125,14647.849609375,19385.30078125,418.8500061035156
2021-08-04,16258.7998046875,36028.05078125,13969.349609375,30977.150390625,10246.7998046875,36482.44921875,5759.89990234375,14594.349609375,19405.19921875,411.8500061035156
2021-08-05,16294.599609375,35834.75,13981.5498046875,31211.19921875,10224.900390625,36701.44921875,5834.39990234375,14579.849609375,19432.44921875,407.3500061035156
2021-08-06,16238.2001953125,35809.25,13954.650390625,31303.30078125,10249.5,36669.80078125,5841.35009765625,14517.5,19411.80078125,403.45001220703125
2021-08-09,16258.25,36028.94921875,13935.0498046875,31441.0,10239.0,36691.8984375,5732.0,14533.4501953125,19272.75,400.5
2021-08-10,16280.099609375,36034.1015625,13892.75,31713.400390625,10158.75,36537.25,5573.2998046875,14502.900390625,19135.75,392.3999938964844
2021-08-11,16282.25,35806.3984375,13876.5498046875,31670.0,10140.400390625,36425.8515625,5748.2998046875,14291.150390625,19400.75,393.45001220703125
2021-08-12,16364.400390625,35937.05078125,13971.9501953125,32245.099609375,10180.5498046875,36521.8515625,5769.25,14133.0498046875,19599.05078125,398.20001220703125
2021-08-13,16529.099609375,36169.3515625,14065.2998046875,32678.80078125,10178.2998046875,36842.05078125,5799.2998046875,14049.0498046875,19677.05078125,394.54998779296875
2021-08-16,16563.05078125,36094.5,14070.7998046875,32577.94921875,10088.7998046875,36954.25,5884.89990234375,13965.400390625,19786.05078125,393.0
2021-08-17,16614.599609375,35867.44921875,14113.099609375,33414.75,10088.2998046875,37478.55078125,5749.39990234375,14041.25,19722.44921875,390.25
2021-08-18,16568.849609375,35554.5,14095.5498046875,33448.8984375,10067.9501953125,37738.30078125,5702.60009765625,14071.349609375,19685.0,387.25
2021-08-20,16450.5,35033.8515625,13943.9501953125,33351.3515625,9904.7001953125,38596.05078125,5335.9501953125,13711.150390625,19348.69921875,373.3999938964844
2021-08-23,16496.44921875,35124.3984375,13930.5498046875,33919.80078125,9759.150390625,38489.5,5291.25,13700.599609375,19332.150390625,369.70001220703125
2021-08-24,16624.599609375,35712.1015625,14063.25,33838.3984375,9832.7998046875,38232.80078125,5444.7998046875,13876.0498046875,19562.5,376.45001220703125
2021-08-25,16634.650390625,35586.25,14093.599609375,34083.94921875,9808.650390625,38448.1015625,5474.0498046875,13830.5,19757.25,373.5
2021-08-26,16636.900390625,35617.55078125,14106.9501953125,34041.1015625,9763.099609375,38670.69921875,5404.7001953125,13758.599609375,19865.05078125,374.5
2021-08-27,16705.19921875,35627.80078125,14192.5,34309.80078125,9793.849609375,38819.5,5492.7001953125,13948.7001953125,19942.44921875,377.25
2021-08-30,16931.05078125,36347.6484375,14397.900390625,34109.25,9957.900390625,39150.19921875,5628.10009765625,14222.5,20243.650390625,384.54998779296875
2021-08-31,17132.19921875,36424.6015625,14555.900390625,34570.25,10034.4501953125,39529.69921875,5714.60009765625,14344.75,20289.69921875,386.79998779296875
2021-09-01,17076.25,36574.30078125,14551.349609375,34110.5,10043.900390625,39644.69921875,5612.4501953125,14319.849609375,20356.55078125,408.3500061035156
2021-09-02,17234.150390625,36831.30078125,14684.349609375,34680.30078125,10022.4501953125,40296.3984375,5653.2998046875,14458.5,20466.0,413.45001220703125
2021-09-03,17323.599609375,36761.1484375,14759.2998046875,34891.19921875,10124.75,40226.25,5719.35009765625,14485.650390625,20934.0,417.8500061035156
2021-09-06,17377.80078125,36592.3515625,14805.849609375,35415.1015625,10167.25,40169.05078125,5742.7001953125,14481.5498046875,21008.55078125,431.04998779296875
2021-09-07,17362.099609375,36468.80078125,14784.25,34951.30078125,10152.7001953125,40289.8515625,5708.35009765625,14387.349609375,20934.5,421.0
2021-09-08,17353.5,36768.19921875,14803.599609375,34678.19921875,10100.400390625,40263.44921875,5720.75,14349.4501953125,21004.69921875,420.70001220703125
2021-09-09,17369.25,36683.19921875,14836.4501953125,34802.30078125,10112.599609375,40577.94921875,5765.14990234375,14329.849609375,21148.349609375,417.6000061035156
2021-09-13,17355.30078125,36471.80078125,14852.2001953125,35129.6015625,10120.150390625,40592.3515625,5839.2998046875,14377.0498046875,20988.599609375,420.29998779296875
2021-09-14,17380.0,36613.05078125,14904.349609375,35431.5,10209.599609375,40469.55078125,5810.35009765625,14410.9501953125,21034.900390625,422.04998779296875
2021-09-15,17519.44921875,36852.25,15020.5498046875,36075.19921875,10297.0,40504.5,5859.0498046875,14487.900390625,21350.650390625,422.70001220703125
2021-09-16,17629.5,37668.6015625,15104.900390625,35852.44921875,10351.4501953125,41007.6015625,5822.5,14491.349609375,21665.25,423.5
2021-09-17,17585.150390625,37811.94921875,15027.25,35646.5,10351.4501953125,40798.8984375,5683.85009765625,14355.150390625,21444.650390625,413.54998779296875
2021-09-20,17396.900390625,37145.69921875,14826.75,35400.05078125,10202.650390625,41169.69921875,5309.0,14097.25,21213.44921875,404.70001220703125
2021-09-21,17562.0,37235.8515625,14946.2998046875,36086.05078125,10155.9501953125,41619.94921875,5444.4501953125,14278.9501953125,21324.5,419.1499938964844
2021-09-22,17546.650390625,36944.6484375,14990.5498046875,36422.44921875,10284.599609375,41507.25,5524.64990234375,14334.25,21499.25,454.54998779296875
2021-09-23,17822.94921875,37771.69921875,15205.4501953125,36816.8984375,10372.9501953125,41548.80078125,5616.0498046875,14380.5,21893.25,493.8999938964844
2021-09-24,17853.19921875,37830.30078125,15191.9501953125,37103.25,10429.0498046875,41090.8984375,5498.2001953125,14289.150390625,21716.44921875,501.29998779296875
2021-09-27,17855.099609375,38171.25,15189.0498046875,36034.3984375,10765.150390625,40720.6015625,5504.4501953125,14156.7001953125,22006.05078125,516.2999877929688
2021-09-28,17748.599609375,37945.0,15095.599609375,35239.94921875,10695.9501953125,40682.94921875,5534.60009765625,14171.599609375,22449.349609375,500.70001220703125
2021-09-29,17711.30078125,37743.0,15086.9501953125,35282.6484375,10655.5,40472.1484375,5661.25,14404.9501953125,22864.55078125,506.3500061035156
